Name,SecondaryName,Year,Single,Url,GroupID
Ivy Queen,The Noise,1995,"""Somos Raperos Pero No Delincuentes"" (We are rappers, not criminals)",https://www.youtube.com/watch?v=jFRsjFyOulI,1
Passion,,1995,"""Move On""",https://www.youtube.com/watch?v=O-AwZWczSzA,2
Lil Kim,Junior M.A.F.I.A.,1995,"""Player's Anthem""",https://www.youtube.com/watch?v=hJW1h5U6SxM,3
Gangasta Boo,,1995,,,4
La Chat,,1995,"""Mystic Stylez"" by Three 6 Mafia",https://www.youtube.com/watch?v=E00IhxUsK3k,5
Medusa,,1995,"""Kings & Queens"" by I Smooth 7",https://www.youtube.com/watch?v=eGgix5EwbTY,6
Nonchalant,,1996,"""5 O'Clock""",https://www.youtube.com/watch?v=BQy1knJmGXg,1
Foxy Brown,,1996,"""Touch Me Tease Me"" by Case, Nutty Professor soundtrack",https://www.youtube.com/watch?v=-cNu5k6KTmg,2
Queen Pen,,1996,"""No Diggity"" with Blackstreet",https://www.youtube.com/watch?v=3KL9mRus19o,3
Jean Grae,,1996,"""Negro League Baseball""",https://www.youtube.com/watch?v=CO9eZVaj7GA,4
Magnolia Shorty,,1996,"""Monkey on Tha D***""",https://www.youtube.com/watch?v=YR7VbTbeIzI,5
Heather B,,1996,"""All Glocks Down""",https://www.youtube.com/watch?v=eeevK4W4v5c,6
Mo Thugs,Il Tru,1996,"""Ghetto Bluez""",https://www.youtube.com/watch?v=f63D5lNKCUE,7
Apani B Fly,,1997,"""Estragen""",https://www.youtube.com/watch?v=TDc-QaS3XCw,1
Angie Martinez,,1997,"""Heartbeat""",https://www.youtube.com/watch?v=6prqQU0ajCg,2
Deadly Venoms,"N-Tyce, J-Boo, Champ MC and Finesse",1997,"""Venoms Everywhere""",https://www.youtube.com/watch?v=gDivufGgE_o,3
Hurricane G,Def Squad,1997,"""Somebody Else""",https://www.youtube.com/watch?v=njlKqY6Zdl4,4
Imani Coppola,,1997,"""Legend of a Cowgirl""",https://www.youtube.com/watch?v=n26hAOmkmFE,5
Eve,,1998,"""Eve of Destruction""",https://www.youtube.com/watch?v=N_g0lxtw_hc,1
Charli Baltimore,,1998,"""Money""",https://www.youtube.com/watch?v=d11-U-gaw9M,2
